,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
56,56,David Sloan,DET,TE,29,15,15,0,0,0,0,0,0,0,,0,69,37,409,11.05,7,0,,7,,,83,119.9,122.9,101.4,11,7,56
57,57,Byron Chamberlain*,MIN,TE,30,16,15,0,0,0,0,0,0,0,,0,81,57,666,11.68,3,1,1,3,,,83,139.6,143.6,111.1,11,8,57
58,58,Laveranues Coles,NYJ,WR,24,16,16,0,0,0,0,0,10,108,10.80,0,102,59,868,14.71,7,1,,7,,,140,198.6,204.6,169.1,10,21,58
59,59,Peerless Price,BUF,WR,25,16,16,0,0,0,0,0,6,97,16.17,0,111,55,895,16.27,7,2,1,7,,,139,194.2,198.2,166.7,10,22,59
60,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
61,60,Jerome Bettis*,PIT,RB,29,11,11,1,2,32,1,0,225,1072,4.76,4,10,8,48,6.00,0,3,,4,,,141,149.3,152.3,145.3,9,20,60
62,61,Johnnie Morton,DET,WR,30,16,16,0,0,0,0,0,1,6,6.00,0,144,77,1154,14.99,4,1,1,4,,,138,215.0,219.0,176.5,9,23,61
63,62,Plaxico Burress,PIT,WR,24,16,16,0,0,0,0,0,0,0,,0,120,66,1008,15.27,6,1,,6,,,137,202.8,205.8,169.8,8,24,62
64,63,Eddie George,TEN,RB,28,16,16,0,0,0,0,0,315,939,2.98,5,51,37,279,7.54,0,8,6,5,,,140,176.8,188.8,158.3,7,21,63
65,64,Willie Jackson,NOR,WR,30,16,16,0,0,0,0,0,0,0,,0,135,81,1046,12.91,5,0,,5,1,,137,217.6,220.6,177.1,7,25,64
66,65,Amani Toomer,NYG,WR,27,16,14,0,0,0,0,0,3,8,2.67,0,141,72,1054,14.64,5,2,,5,,,136,208.2,211.2,172.2,7,26,65
67,66,Chad Lewis*,PHI,TE,30,15,15,0,0,0,0,0,0,0,,0,68,41,422,10.29,6,2,,6,,,78,119.2,122.2,98.7,6,9,66
68,67,James Thrash,PHI,WR,26,15,15,0,0,0,0,0,6,57,9.50,0,108,63,833,13.22,8,1,1,8,,,135,198.0,202.0,166.5,6,27,67
69,68,Jay Riemersma,BUF,TE,28,16,15,0,0,0,0,0,0,0,,0,78,53,590,11.13,3,0,,3,,,77,130.0,133.0,103.5,5,10,68
70,69,Michael Pittman,ARI,RB,26,15,14,0,0,0,0,0,241,846,3.51,5,66,42,264,6.29,0,5,2,5,,,137,179.0,187.0,158.0,5,22,69
71,70,Mark Brunell,JAX,QB,31,15,15,289,473,3309,19,13,39,224,5.74,1,0,0,0,,0,8,3,1,,1,207,206.8,228.8,219.8,4,11,70
