,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
357,347,Jason Phillips,ATL,WR,25,11,0,0,0,0,0,0,0,0,,0,6,73,12.17,0,0,,0,,,7,13.3,13.3,10.3,,120,
358,348,Troy Taylor,NYJ,QB,23,5,0,5,10,76,1,1,7,23,3.29,0,0,0,,0,0,,0,,,7,7.3,8.3,8.3,,52,
359,349,Marvin Allen,NWE,RB,26,15,0,0,0,0,0,0,13,50,3.85,0,1,9,9.00,0,0,,0,,,6,6.9,6.9,6.4,,118,
360,350,Johnny Bailey,CHI,RB,24,14,0,0,0,0,0,0,15,43,2.87,1,0,0,,0,4,,1,,,6,6.3,8.3,6.3,,117,
361,351,Pat Beach,IND,TE,32,12,10,0,0,0,0,0,0,0,,0,5,56,11.20,0,0,,0,,,6,10.6,10.6,8.1,,56,
362,352,Ron Brown,RAM,WR,30,6,0,0,0,0,0,0,2,11,5.50,0,3,52,17.33,0,0,,0,,,6,9.3,9.3,7.8,,123,
363,353,Fred Jones,KAN,WR,24,11,0,0,0,0,0,0,0,0,,0,8,85,10.63,0,3,,0,,,6,13.5,15.0,9.5,,124,
364,354,James Saxon,KAN,RB,25,16,0,0,0,0,0,0,6,13,2.17,0,6,55,9.17,0,1,,0,,,6,11.8,12.3,8.8,,119,
365,355,Ed Thomas,TAM,TE,25,6,0,0,0,0,0,0,0,0,,0,4,55,13.75,0,0,,0,,,6,9.5,9.5,7.5,,57,
366,356,Terry Anthony,TAM,WR,23,9,0,0,0,0,0,0,0,0,,0,4,51,12.75,0,0,,0,,,5,9.1,9.1,7.1,,125,
367,357,Robert Awalt,DAL,TE,27,12,2,0,0,0,0,0,0,0,,0,5,57,11.40,0,1,,0,,,5,9.7,10.2,7.2,,60,
368,358,Rob Carpenter,NWE,WR,23,9,1,0,0,0,0,0,0,0,,0,3,45,15.00,0,0,,0,,,5,7.5,7.5,6.0,,127,
369,359,Arthur Cox,3TM,TE,30,13,8,0,0,0,0,0,0,0,,0,5,53,10.60,0,0,,0,,,5,10.3,10.3,7.8,,58,
370,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
371,360,D.J. Dozier,DET,RB,26,6,0,0,0,0,0,0,9,48,5.33,0,1,3,3.00,0,0,,0,,,5,6.1,6.1,5.6,,123,
