rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
375,Reggie Brown,HOU,WR,23,4,0,0,0,0,0,0,0,0,,0,5.0,2,30,15.0,0,0.0,,0,,,3.0,5.0,5.0,4.0,,134,
376,Kent Graham,NYG,QB,25,9,0,8,22,79,0,0,2,-3,-1.5,0,,0,0,,0,0.0,,0,,,3.0,2.9,2.9,2.9,,59,
377,Browning Nagle,NYJ,QB,25,3,0,6,14,71,0,0,0,0,,0,,0,0,,0,0.0,,0,,,3.0,2.8,2.8,2.8,,60,
378,Bucky Richardson,HOU,QB,24,2,0,3,4,55,0,0,2,9,4.5,0,,0,0,,0,0.0,,0,,,3.0,3.1,3.1,3.1,,58,
379,Patrick Rowe,CLE,WR,24,5,0,0,0,0,0,0,0,0,,0,10.0,3,37,12.33,0,1.0,,0,,,3.0,5.7,6.2,4.2,,136,
380,Kitrick Taylor,DEN,WR,29,2,0,0,0,0,0,0,0,0,,0,1.0,1,28,28.0,0,0.0,,0,,,3.0,3.8,3.8,3.3,,135,
381,Erik Wilhelm,CIN,QB,28,1,0,4,6,63,0,0,0,0,,0,,0,0,,0,0.0,,0,,,3.0,2.5,2.5,2.5,,61,
382,Tyrone Williams,DAL,WR,23,5,0,0,0,0,0,0,0,0,,0,4.0,1,25,25.0,0,0.0,,0,,,3.0,3.5,3.5,3.0,,137,
383,Robert Awalt,BUF,TE,29,12,1,0,0,0,0,0,0,0,,0,4.0,2,19,9.5,0,0.0,,0,,,2.0,3.9,3.9,2.9,,63,
384,Ryan Benjamin,CIN,RB,23,1,0,0,0,0,0,0,3,5,1.67,0,1.0,1,16,16.0,0,0.0,,0,,,2.0,3.1,3.1,2.6,,122,
385,Gregory Clifton,WAS,WR,25,2,0,0,0,0,0,0,0,0,,0,3.0,2,15,7.5,0,0.0,,0,,,2.0,3.5,3.5,2.5,,141,
386,Jimmie Johnson,DET,TE,27,6,4,0,0,0,0,0,0,0,,0,5.0,2,18,9.0,0,0.0,,0,,,2.0,3.8,3.8,2.8,,64,
387,Sean LaChapelle,RAM,WR,23,10,0,0,0,0,0,0,0,0,,0,7.0,2,23,11.5,0,0.0,,0,,,2.0,4.3,4.3,3.3,,138,
388,Ron Lewis,GNB,WR,25,9,0,0,0,0,0,0,0,0,,0,2.0,2,21,10.5,0,0.0,,0,,,2.0,4.1,4.1,3.1,,139,
389,Don Majkowski,IND,QB,29,3,0,13,24,105,0,1,2,4,2.0,0,,0,0,,0,1.0,,0,,,2.0,1.6,3.1,2.6,,62,
390,Scott Miller,MIA,WR,25,3,0,0,0,0,0,0,0,0,,0,3.0,2,15,7.5,0,0.0,,0,,,2.0,3.5,3.5,2.5,,142,
391,Bernie Parmalee,MIA,RB,26,16,0,0,0,0,0,0,4,16,4.0,0,1.0,1,1,1.0,0,0.0,,0,,,2.0,2.7,2.7,2.2,,125,
392,Jason Phillips,ATL,WR,27,6,0,0,0,0,0,0,0,0,,0,1.0,1,15,15.0,0,0.0,,0,,,2.0,2.5,2.5,2.0,,143,
393,Tony Smith,ATL,,23,15,0,0,0,0,0,0,0,0,,0,,0,0,,0,4.0,,1,,,2.0,2.0,4.0,2.0,,124,
394,Steve Tasker,BUF,WR,31,15,0,0,0,0,0,0,0,0,,0,5.0,2,26,13.0,0,1.0,,0,,,2.0,3.6,4.1,2.6,,140,
395,Marty Thompson,DET,TE,24,6,2,0,0,0,0,0,0,0,,0,1.0,1,15,15.0,0,0.0,,0,,,2.0,2.5,2.5,2.0,,65,
396,Adam Walker,SFO,RB,25,10,0,0,0,0,0,0,5,17,3.4,0,1.0,1,4,4.0,0,0.0,,0,,,2.0,3.1,3.1,2.6,,123,
397,Tommie Agee,DAL,RB,29,12,0,0,0,0,0,0,6,13,2.17,0,,0,0,,0,0.0,,0,,,1.0,1.3,1.3,1.3,,127,
398,Michael Bates,SEA,RB,24,16,1,0,0,0,0,0,2,12,6.0,0,3.0,1,6,6.0,0,1.0,,0,,,1.0,1.8,2.3,1.3,,133,
399,Keith Crawford,NYG,WR,23,7,0,0,0,0,0,0,0,0,,0,5.0,1,6,6.0,0,0.0,,0,,,1.0,1.6,1.6,1.1,,147,
400,Randy Cuthbert,PIT,RB,23,10,0,0,0,0,0,0,1,7,7.0,0,1.0,1,3,3.0,0,0.0,,0,,,1.0,2.0,2.0,1.5,,131,
401,Ty Detmer,GNB,QB,26,3,0,3,5,26,0,0,1,-2,-2.0,0,,0,0,,0,0.0,,0,,,1.0,0.8,0.8,0.8,,63,
402,Jason Garrett,DAL,QB,27,5,1,9,19,61,0,0,8,-8,-1.0,0,,0,0,,0,1.0,,0,,,1.0,0.6,1.1,0.6,,64,
403,Tim Jorden,PIT,TE,27,16,1,0,0,0,0,0,0,0,,0,4.0,1,12,12.0,0,0.0,,0,,,1.0,2.2,2.2,1.7,,68,
404,Reggie Lawrence,PHI,WR,23,1,0,0,0,0,0,0,0,0,,0,,1,5,5.0,0,0.0,,0,,,1.0,1.5,1.5,1.0,,148,
405,Le'Shai Maston,HOU,RB,23,10,0,0,0,0,0,0,1,10,10.0,0,1.0,1,14,14.0,0,1.0,,0,,,1.0,2.4,2.9,1.9,,126,
406,Anthony Morgan,2TM,WR,26,3,0,0,0,0,0,0,0,0,,0,1.0,1,8,8.0,0,0.0,,0,,,1.0,1.8,1.8,1.3,,145,
407,Troy Sadowski,NYJ,TE,28,13,1,0,0,0,0,0,0,0,,0,3.0,2,14,7.0,0,0.0,,0,,,1.0,3.4,3.4,2.4,,66,
408,James Saxon,MIA,RB,27,16,0,0,0,0,0,0,5,13,2.6,0,,0,0,,0,0.0,,0,,,1.0,1.3,1.3,1.3,,128,
409,Milt Stegall,CIN,WR,23,4,0,0,0,0,0,0,0,0,,0,4.0,1,8,8.0,0,0.0,,0,,,1.0,1.8,1.8,1.3,,146,
410,Jeff Sydner,PHI,WR,24,4,0,0,0,0,0,0,0,0,,0,2.0,2,42,21.0,0,3.0,,0,,,1.0,3.2,4.7,2.2,,144,
411,Jeff Thomason,CIN,TE,24,3,0,0,0,0,0,0,0,0,,0,6.0,2,8,4.0,0,0.0,,0,,,1.0,2.8,2.8,1.8,,69,
412,Ed Toner,IND,RB,25,16,1,0,0,0,0,0,2,6,3.0,0,1.0,1,5,5.0,0,0.0,,0,,,1.0,2.1,2.1,1.6,,129,
413,Russell White,RAM,RB,23,5,0,0,0,0,0,0,2,10,5.0,0,1.0,0,0,,0,0.0,,0,,,1.0,1.0,1.0,1.0,,132,
414,Clarence Williams,CLE,TE,24,7,1,0,0,0,0,0,0,0,,0,6.0,1,14,14.0,0,0.0,,0,,,1.0,2.4,2.4,1.9,,67,
415,Marcus Wilson,GNB,RB,25,16,0,0,0,0,0,0,6,3,0.5,0,2.0,2,18,9.0,0,1.0,,0,,,1.0,3.1,3.6,2.1,,130,
416,Jesse Anderson,NOR,,27,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,72,
417,Steve Avery,PIT,,27,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0.0,,0,,,,,,,,136,
418,Mike Bartrum,KAN,,23,3,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,73,
419,Pat Beach,PHO,,34,15,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,74,
420,Kelly Blackwell,DAL,,24,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,75,
421,Matt Blundin,KAN,QB,24,1,0,1,3,2,0,0,0,0,,0,,0,0,,0,0.0,,0,,,,0.1,0.1,0.1,,66,
422,Melvin Bonner,DEN,,23,3,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,151,
423,Dave Brown,NYG,QB,23,1,0,0,0,0,0,0,3,-4,-1.33,0,,0,0,,0,0.0,,0,,,,-0.4,-0.4,-0.4,,71,
424,Troy Brown,NWE,WR,22,12,0,0,0,0,0,0,0,0,,0,5.0,2,22,11.0,0,2.0,,0,,,,2.2,3.2,1.2,,149,
425,Richard Buchanan,RAM,,24,5,0,0,0,0,0,0,0,0,,0,,0,0,,0,0.0,,0,,,,,,,,152,
