,rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
230,231,James Thornton,CHI,TE,26,16,13,0,0,0,0,0,0,0,,0,17,278,16.35,1,1.0,,1,,,33.0,49.8,53.3,41.3,,20,
231,232,Ed West,GNB,TE,30,16,16,0,0,0,0,0,0,0,,0,15,151,10.07,3,0.0,,3,,,33.0,48.1,51.1,40.6,,18,
232,233,Michael Barber,CIN,WR,24,15,2,0,0,0,0,0,0,0,,0,23,255,11.09,1,0.0,,1,,,32.0,54.5,57.5,43.0,,90,
233,234,Greg Baty,MIA,TE,27,16,8,0,0,0,0,0,0,0,,0,20,269,13.45,1,1.0,,1,,,32.0,51.9,55.4,41.9,,21,
234,235,Jonathan Hayes,KAN,TE,29,16,16,0,0,0,0,0,0,0,,0,19,208,10.95,2,1.0,,2,,,32.0,50.8,54.3,41.3,,22,
235,236,Chris Calloway,PIT,WR,23,12,0,0,0,0,0,0,0,0,,0,15,254,16.93,1,0.0,,1,,,31.0,46.4,49.4,38.9,,91,
236,237,Bruce Hill,TAM,WR,27,6,6,0,0,0,0,0,0,0,,0,17,185,10.88,2,0.0,,2,,,31.0,47.5,50.5,39.0,,93,
237,238,Jim Jensen,MIA,WR,33,16,0,1,1,17,0,0,0,0,,0,21,183,8.71,2,0.0,,2,,,31.0,52.0,55.0,41.5,,92,
238,239,Heath Sherman,PHI,RB,24,16,5,0,0,0,0,0,106,279,2.63,0,14,59,4.21,0,3.0,,0,,,31.0,44.8,49.3,37.8,,85,
239,240,Mike Tice,SEA,TE,32,16,15,0,0,0,0,0,0,0,,0,10,70,7.0,4,0.0,,4,,,31.0,41.0,41.0,36.0,,23,
240,241,Billy Joe Tolliver,ATL,QB,25,7,2,40,82,531,4,2,9,6,0.67,0,0,0,,0,3.0,,0,,,31.0,30.8,37.3,32.8,,39,
241,242,Jamie Williams,SFO,TE,31,16,7,0,0,0,0,0,0,0,,0,22,235,10.68,1,0.0,,1,,,30.0,51.5,54.5,40.5,,24,
242,243,Marcus Dupree,RAM,RB,27,8,1,0,0,0,0,0,49,179,3.65,1,6,46,7.67,0,1.0,,1,,,28.0,33.5,37.0,30.5,,86,
243,244,Kelvin Martin,DAL,WR,26,16,0,0,0,0,0,0,0,0,,0,16,243,15.19,0,2.0,,1,,,28.0,44.3,48.3,36.3,,94,
244,245,Adrian Cooper,PIT,TE,23,16,8,0,0,0,0,0,0,0,,0,11,147,13.36,2,0.0,,2,,,27.0,37.7,40.7,32.2,,26,
245,246,Ron Hall,TAM,TE,27,15,15,0,0,0,0,0,0,0,,0,31,284,9.16,0,1.0,,0,,,27.0,58.4,61.9,42.9,,25,
246,247,Travis McNeal,SEA,TE,24,16,4,0,0,0,0,0,0,0,,0,17,208,12.24,1,1.0,,1,,,26.0,42.8,46.3,34.3,,27,
247,248,Clarence Verdin,IND,WR,28,16,0,0,0,0,0,0,1,4,4.0,0,21,214,10.19,0,2.0,,1,,,26.0,46.8,50.8,36.3,,95,
248,249,Sam Graddy,RAI,WR,27,12,0,0,0,0,0,0,0,0,,0,6,195,32.5,1,1.0,,1,,,25.0,30.5,34.0,27.5,,96,
249,250,Blair Kiel,GNB,QB,30,4,1,29,50,361,3,2,4,46,11.5,0,0,0,,0,2.0,,0,,,25.0,25.0,31.0,27.0,,41,
250,251,Wade Wilson,MIN,QB,32,5,5,72,122,825,3,10,13,33,2.54,0,0,0,,0,3.0,,0,,,25.0,25.3,39.8,35.3,,40,
251,252,Ottis Anderson,NYG,RB,34,10,1,0,0,0,0,0,53,141,2.66,1,11,41,3.73,0,0.0,,1,,,24.0,35.2,38.2,29.7,,87,
252,253,Wesley Carroll,NOR,WR,24,12,0,0,0,0,0,0,0,0,,0,18,184,10.22,1,0.0,,1,,,24.0,42.4,45.4,33.4,,97,
253,254,Ferrell Edmunds,MIA,TE,26,8,6,0,0,0,0,0,0,0,,0,11,118,10.73,2,0.0,,2,,,24.0,34.8,37.8,29.3,,28,
254,255,Andrew Glover,RAI,TE,24,16,1,0,0,0,0,0,0,0,,0,5,45,9.0,3,0.0,,3,,,23.0,27.5,27.5,25.0,,30,
255,256,Pete Holohan,KAN,TE,32,16,3,0,0,0,0,0,0,0,,0,13,113,8.69,2,0.0,,2,,,23.0,36.3,39.3,29.8,,29,
256,257,Todd Marinovich,RAI,QB,22,1,1,23,40,243,3,0,3,14,4.67,0,0,0,,0,0.0,,0,,,23.0,23.1,23.1,23.1,,42,
257,258,Alexander Wright,DAL,WR,24,16,5,0,0,0,0,0,2,-1,-0.5,0,10,170,17.0,0,0.0,,1,,,23.0,32.9,35.9,27.9,,98,
