player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj,year
Colin Kaepernick,SFO,QB,29,12,11,196,331,2241,16,4,69,468,6.78,2,0,0,0,0.0,0,9.0,3,2,1.0,0.0,200.0,200.4,33.4863156129983,226.32130552233332,382.2058782035323,2587.683906507903,18.475208614068027,4.618802153517007,79.67433714816836,540.3998519614897,7.828869650211326,2.3094010767585034,0.0,0.0,0.0,0.0,0.0,10.392304845413264,3.464101615137755,2.3094010767585034,1.1547005383792517,0.0,230.94010767585033,231.40198789120203,2016
Trevor Siemian,DEN,QB,25,14,14,289,486,3401,18,10,28,57,2.04,0,0,0,0,0.0,0,4.0,2,0,1.0,0.0,192.0,191.7,26.726124191242437,308.9539956507626,519.555854277753,3635.8219349766214,19.242809417694556,10.690449676496975,29.93325909419153,60.935563156032764,2.1808517340053832,0.0,0.0,0.0,0.0,0.0,0.0,4.27617987059879,2.138089935299395,0.0,1.0690449676496976,0.0,205.25663378874194,204.935920298447,2016
Ryan Tannehill,MIA,QB,28,13,13,261,389,2995,19,12,39,164,4.21,1,0,0,0,0.0,0,9.0,3,1,0.0,1.0,190.0,190.2,31.063210988612834,289.5535024295696,431.5567526632283,3322.6541753891224,21.078607456558707,13.3128047094055,43.266615305567875,181.94166436187516,4.67057565221643,1.1094003924504583,0.0,0.0,0.0,0.0,0.0,9.984603532054125,3.328201177351375,1.1094003924504583,0.0,1.1094003924504583,210.78607456558709,211.00795464407716,2016
Brock Osweiler,HOU,QB,26,15,14,301,510,2957,15,16,30,131,4.37,2,1,1,-14,-14.0,0,5.0,1,2,0.0,0.0,168.0,169.0,26.852684533704757,310.871463255582,526.7257350842086,3053.9764679294217,15.491933384829666,16.52472894381831,30.983866769659333,135.2962182275124,4.5133165927803764,2.065591117977289,1.0327955589886444,1.0327955589886444,-14.459137825841022,-14.459137825841022,0.0,5.163977794943222,1.0327955589886444,2.065591117977289,0.0,0.0,173.50965391009228,174.5424494690809,2016
Ryan Fitzpatrick,NYJ,QB,34,14,11,228,403,2710,12,17,33,130,3.94,0,0,0,0,0.0,0,9.0,1,0,0.0,0.0,133.0,133.4,36.34752890008971,243.74225262413105,430.8251219628281,2897.11186233068,12.828539611796371,18.173764450044857,35.27848393244002,138.9758457944607,4.212037172539809,0.0,0.0,0.0,0.0,0.0,0.0,9.621404708847278,1.0690449676496976,0.0,0.0,0.0,142.18298069740976,142.61059868446966,2016
Ryan Mathews,PHI,RB,29,13,8,0,0,0,0,0,155,661,4.26,8,14,13,115,8.85,1,3.0,2,9,2.0,0.0,132.0,144.6,32.17261138106329,0.0,0.0,0.0,0.0,0.0,171.95706082982105,733.313659409753,4.7260456718389525,8.875203139603666,15.531605494306417,14.422205101855958,127.58104513180271,9.818193473186556,1.1094003924504583,3.328201177351375,2.2188007849009166,9.984603532054125,2.2188007849009166,0.0,146.4408518034605,160.41929674833625,2016
DeSean Jackson,WAS,WR,30,15,15,0,0,0,0,0,0,0,0.0,0,100,56,1005,17.95,4,0.0,0,4,0.0,0.0,125.0,180.5,30.983866769659333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.27955589886444,57.83655130336409,1037.9595367835877,18.53868028384617,4.131182235954578,0.0,0.0,4.131182235954578,0.0,0.0,129.09944487358055,186.41959839745033,2016
Pierre Garcon,WAS,WR,30,16,16,0,0,0,0,0,0,0,0.0,0,114,79,1041,13.18,3,0.0,0,3,0.0,0.0,122.0,201.1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,79.0,1041.0,13.18,3.0,0.0,0.0,3.0,0.0,0.0,122.0,201.1,2016
Brandon LaFell,CIN,WR,30,16,14,0,0,0,0,0,1,-2,-2.0,0,107,64,862,13.47,6,0.0,0,6,0.0,0.0,122.0,186.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,0.0,107.0,64.0,862.0,13.47,6.0,0.0,0.0,6.0,0.0,0.0,122.0,186.0,2016
Robert Kelley,WAS,RB,24,15,9,0,0,0,0,0,168,704,4.19,6,18,12,82,6.83,1,0.0,0,7,0.0,0.0,121.0,132.6,24.78709341572747,0.0,0.0,0.0,0.0,0.0,173.50965391009228,727.0880735280057,4.327413392162421,6.196773353931867,18.5903200617956,12.393546707863734,84.68923583706885,7.053993667892442,1.0327955589886444,0.0,0.0,7.229568912920511,0.0,0.0,124.96826263762598,136.94869112189426,2016
A.J. Green,CIN,WR,28,10,10,0,0,0,0,0,0,0,0.0,0,100,66,964,14.61,4,0.0,0,4,0.0,0.0,120.0,186.4,35.41750979388585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.49110640673517,83.48413022844521,1219.374265760927,18.480350646024007,5.059644256269407,0.0,0.0,5.059644256269407,0.0,0.0,151.7893276880822,235.77942234215436,2016
Willie Snead,NOR,WR,24,15,4,1,1,50,1,0,0,0,0.0,0,104,72,895,12.43,4,2.0,0,4,0.0,0.0,120.0,191.5,24.78709341572747,1.0327955589886444,1.0327955589886444,51.63977794943222,1.0327955589886444,0.0,0.0,0.0,0.0,0.0,107.41073813481903,74.3612802471824,924.3520252948368,12.83764879822885,4.131182235954578,2.065591117977289,0.0,4.131182235954578,0.0,0.0,123.93546707863733,197.78034954632543,2016
DeAndre Hopkins,HOU,WR,24,16,16,0,0,0,0,0,0,0,0.0,0,151,78,954,12.23,4,0.0,0,4,0.0,0.0,119.0,197.4,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,78.0,954.0,12.23,4.0,0.0,0.0,4.0,0.0,0.0,119.0,197.4,2016
Sterling Shepard,NYG,WR,23,16,16,0,0,0,0,0,3,31,10.33,0,105,65,683,10.51,8,0.0,0,8,0.0,0.0,119.0,184.4,23.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,10.33,0.0,105.0,65.0,683.0,10.51,8.0,0.0,0.0,8.0,0.0,0.0,119.0,184.4,2016
