player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj
Mike Gesicki,MIA,TE,26,17,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,73.0,780.0,10.68,2.0,0.0,0.0,2,1.0,0.0,92.0,165.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,73.0,780.0,10.68,2.0,0.0,0.0,2.0,1.0,0.0,92.0,165.0
Elijah Mitchell,SFO,RB,23,11,10,0.0,0.0,0.0,0.0,0.0,207.0,963.0,4.65,5.0,20.0,19.0,137.0,7.21,1.0,0.0,0.0,6,0.0,0.0,146.0,165.0,28.592751783370808,0.0,0.0,0.0,0.0,0.0,257.3347660503373,1197.1660855385255,5.780708512724968,6.215815605080611,24.863262420322442,23.620099299306318,170.3133475792087,8.96320610252624,1.243163121016122,0.0,0.0,7.458978726096732,0.0,0.0,181.50181566835383,205.12191496766013
Ryan Tannehill,TEN,QB,33,17,17,357.0,531.0,3734.0,21.0,14.0,55.0,270.0,4.91,7.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,7,0.0,1.0,268.0,268.4,33.0,357.0,531.0,3734.0,21.0,14.0,55.0,270.0,4.91,7.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,7.0,0.0,1.0,268.0,268.4
Carson Wentz,IND,QB,29,17,17,322.0,516.0,3563.0,27.0,7.0,57.0,215.0,3.77,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,1,0.0,2.0,258.0,258.0,29.0,322.0,516.0,3563.0,27.0,7.0,57.0,215.0,3.77,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,0.0,2.0,258.0,258.0
Derek Carr,LVR,QB,30,17,17,428.0,626.0,4804.0,23.0,14.0,40.0,108.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0,0.0,0.0,257.0,257.0,30.0,428.0,626.0,4804.0,23.0,14.0,40.0,108.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,257.0,257.0
Russell Wilson,SEA,QB,33,14,14,259.0,400.0,3113.0,25.0,6.0,43.0,183.0,4.26,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2,0.0,1.0,243.0,242.8,36.364228891276426,285.404099480018,440.7785320154718,3430.3589254104095,27.548658250966987,6.611677980232077,47.38369219166322,201.65617839707835,4.694291365964775,2.203892660077359,0.0,0.0,0.0,0.0,0.0,6.611677980232077,1.1019463300386796,2.203892660077359,0.0,1.1019463300386796,267.7729581993991,267.5525689333914
Lamar Jackson,BAL,QB,24,12,12,246.0,382.0,2882.0,16.0,13.0,133.0,767.0,5.77,2.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2,0.0,2.0,240.0,240.0,28.5657137141714,292.79856557025687,454.6709432838948,3430.2661218434155,19.043809142780933,15.473094928509509,158.3016634993665,912.912600782061,6.867673672115374,2.3804761428476167,0.0,0.0,0.0,0.0,0.0,7.14142842854285,3.570714214271425,2.3804761428476167,0.0,2.3804761428476167,285.65713714171403,285.65713714171403
Jimmy Garoppolo,SFO,QB,30,15,15,301.0,441.0,3810.0,20.0,12.0,38.0,51.0,1.34,3.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3,0.0,1.0,228.0,227.5,31.937438845342623,320.438969748271,469.48035102653654,4056.054733358513,21.29162589689508,12.77497553813705,40.454089204100654,54.29364603708246,1.4265389350919706,3.1937438845342623,0.0,0.0,0.0,0.0,0.0,8.516650358758033,3.1937438845342623,3.1937438845342623,0.0,1.0645812948447542,242.72453522460393,242.19224457718155
Mac Jones,NWE,QB,23,17,17,352.0,521.0,3801.0,22.0,13.0,44.0,129.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0,0.0,2.0,225.0,224.9,23.0,352.0,521.0,3801.0,22.0,13.0,44.0,129.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,2.0,225.0,224.9
Matt Ryan,ATL,QB,36,17,17,375.0,560.0,3968.0,20.0,12.0,40.0,82.0,2.05,1.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,1,1.0,0.0,223.0,222.9,36.0,375.0,560.0,3968.0,20.0,12.0,40.0,82.0,2.05,1.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,1.0,1.0,0.0,223.0,222.9
